fever,cough,headache,fatigue,body pain,chest pain,vomiting,dizziness,snake bite,itching,rash,stomach ache,shortness of breath,bleeding,unconscious,swelling,sore throat,runny nose,loss of appetite,chills,disease
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Flu
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Flu
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Flu
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Flu
1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Flu
1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Flu
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Flu
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Flu
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Flu
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Flu
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Flu
1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Flu
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Flu
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Flu
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Flu
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flu
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Flu
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Flu
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Flu
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Flu
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Flu
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Viral Fever
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Viral Fever
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Viral Fever
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Viral Fever
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Viral Fever
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Viral Fever
1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Viral Fever
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Viral Fever
1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Viral Fever
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Viral Fever
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Viral Fever
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Viral Fever
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Viral Fever
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Viral Fever
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Viral Fever
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Viral Fever
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Viral Fever
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Viral Fever
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Common Cold
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Common Cold
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Common Cold
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Common Cold
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Common Cold
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Common Cold
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Common Cold
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Common Cold
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Common Cold
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Common Cold
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Common Cold
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Common Cold
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Common Cold
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Common Cold
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Common Cold
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Common Cold
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Common Cold
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Common Cold
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Common Cold
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Migraine
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migraine
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Migraine
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Migraine
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migraine
0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,Migraine
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Migraine
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migraine
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Migraine
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Migraine
0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Migraine
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Migraine
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Migraine
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migraine
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Migraine
